generic_name,display_name,reaction_term,count
fluoxetine,Fluoxetine (Prozac),INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,430
fluoxetine,Fluoxetine (Prozac),FLATULENCE,429
fluoxetine,Fluoxetine (Prozac),LEUKOPENIA,429
fluoxetine,Fluoxetine (Prozac),ATRIAL SEPTAL DEFECT,427
fluoxetine,Fluoxetine (Prozac),BLOOD CREATININE INCREASED,426
fluoxetine,Fluoxetine (Prozac),HAEMATURIA,422
fluoxetine,Fluoxetine (Prozac),THERAPEUTIC PRODUCT EFFECT INCOMPLETE,422
fluoxetine,Fluoxetine (Prozac),ARTHROPATHY,416
fluoxetine,Fluoxetine (Prozac),OEDEMA,415
fluoxetine,Fluoxetine (Prozac),NIGHT SWEATS,414
fluoxetine,Fluoxetine (Prozac),RENAL IMPAIRMENT,414
fluoxetine,Fluoxetine (Prozac),PHOTOPHOBIA,413
fluoxetine,Fluoxetine (Prozac),WHITE BLOOD CELL COUNT INCREASED,413
fluoxetine,Fluoxetine (Prozac),PRODUCT DOSE OMISSION,412
fluoxetine,Fluoxetine (Prozac),HEAD INJURY,409
fluoxetine,Fluoxetine (Prozac),DYSPNOEA EXERTIONAL,408
fluoxetine,Fluoxetine (Prozac),DISCOMFORT,406
fluoxetine,Fluoxetine (Prozac),BONE PAIN,405
fluoxetine,Fluoxetine (Prozac),CATARACT,405
fluoxetine,Fluoxetine (Prozac),THERAPY CESSATION,405
fluoxetine,Fluoxetine (Prozac),ADVERSE EVENT,404
fluoxetine,Fluoxetine (Prozac),EUPHORIC MOOD,393
fluoxetine,Fluoxetine (Prozac),HEAD DISCOMFORT,391
fluoxetine,Fluoxetine (Prozac),DISEASE RECURRENCE,386
fluoxetine,Fluoxetine (Prozac),DYSTONIA,386
fluoxetine,Fluoxetine (Prozac),ANGIOEDEMA,385
fluoxetine,Fluoxetine (Prozac),ASCITES,385
fluoxetine,Fluoxetine (Prozac),LIVER FUNCTION TEST ABNORMAL,385
fluoxetine,Fluoxetine (Prozac),RECTAL HAEMORRHAGE,385
fluoxetine,Fluoxetine (Prozac),BIPOLAR DISORDER,381
fluoxetine,Fluoxetine (Prozac),RASH PRURITIC,381
fluoxetine,Fluoxetine (Prozac),MENTAL IMPAIRMENT,380
fluoxetine,Fluoxetine (Prozac),GASTRITIS,379
fluoxetine,Fluoxetine (Prozac),CARDIAC FAILURE,375
fluoxetine,Fluoxetine (Prozac),DISEASE PROGRESSION,374
fluoxetine,Fluoxetine (Prozac),RENAL INJURY,374
fluoxetine,Fluoxetine (Prozac),FIBROMYALGIA,373
fluoxetine,Fluoxetine (Prozac),ERECTILE DYSFUNCTION,372
fluoxetine,Fluoxetine (Prozac),HEPATIC STEATOSIS,370
fluoxetine,Fluoxetine (Prozac),PNEUMONIA ASPIRATION,369
fluoxetine,Fluoxetine (Prozac),EATING DISORDER,363
fluoxetine,Fluoxetine (Prozac),APHASIA,360
fluoxetine,Fluoxetine (Prozac),ACCIDENTAL OVERDOSE,359
fluoxetine,Fluoxetine (Prozac),POISONING DELIBERATE,359
fluoxetine,Fluoxetine (Prozac),DRUG TOXICITY,358
fluoxetine,Fluoxetine (Prozac),"HALLUCINATION, VISUAL",358
fluoxetine,Fluoxetine (Prozac),MYDRIASIS,358
fluoxetine,Fluoxetine (Prozac),END STAGE RENAL DISEASE,357
fluoxetine,Fluoxetine (Prozac),SINUS TACHYCARDIA,356
fluoxetine,Fluoxetine (Prozac),BLOOD TRIGLYCERIDES INCREASED,354
fluoxetine,Fluoxetine (Prozac),THERAPEUTIC RESPONSE DECREASED,354
fluoxetine,Fluoxetine (Prozac),STOMATITIS,353
fluoxetine,Fluoxetine (Prozac),INJECTION SITE PRURITUS,352
fluoxetine,Fluoxetine (Prozac),CROHN^S DISEASE,351
fluoxetine,Fluoxetine (Prozac),DRUG LEVEL INCREASED,350
fluoxetine,Fluoxetine (Prozac),TORSADE DE POINTES,350
fluoxetine,Fluoxetine (Prozac),TREATMENT FAILURE,350
fluoxetine,Fluoxetine (Prozac),HAEMATOCHEZIA,349
fluoxetine,Fluoxetine (Prozac),INJECTION SITE REACTION,348
fluoxetine,Fluoxetine (Prozac),FLUID RETENTION,346
fluoxetine,Fluoxetine (Prozac),MYOCLONUS,345
fluoxetine,Fluoxetine (Prozac),PHARMACEUTICAL PRODUCT COMPLAINT,345
fluoxetine,Fluoxetine (Prozac),CYSTITIS,341
fluoxetine,Fluoxetine (Prozac),INJECTION SITE BRUISING,341
fluoxetine,Fluoxetine (Prozac),MOVEMENT DISORDER,341
fluoxetine,Fluoxetine (Prozac),INFLAMMATION,338
fluoxetine,Fluoxetine (Prozac),WRONG TECHNIQUE IN DRUG USAGE PROCESS,338
fluoxetine,Fluoxetine (Prozac),ORTHOSTATIC HYPOTENSION,336
fluoxetine,Fluoxetine (Prozac),VAGINAL HAEMORRHAGE,336
fluoxetine,Fluoxetine (Prozac),THERAPY NON-RESPONDER,335
fluoxetine,Fluoxetine (Prozac),FEELING JITTERY,334
fluoxetine,Fluoxetine (Prozac),PRESCRIBED OVERDOSE,332
fluoxetine,Fluoxetine (Prozac),TRANSIENT ISCHAEMIC ATTACK,332
fluoxetine,Fluoxetine (Prozac),MUSCLE RIGIDITY,330
fluoxetine,Fluoxetine (Prozac),LUNG DISORDER,329
fluoxetine,Fluoxetine (Prozac),DYSSTASIA,327
fluoxetine,Fluoxetine (Prozac),INTERVERTEBRAL DISC PROTRUSION,327
fluoxetine,Fluoxetine (Prozac),SOPOR,326
fluoxetine,Fluoxetine (Prozac),ILL-DEFINED DISORDER,324
fluoxetine,Fluoxetine (Prozac),ECONOMIC PROBLEM,323
fluoxetine,Fluoxetine (Prozac),THROAT IRRITATION,323
fluoxetine,Fluoxetine (Prozac),HYPOTHYROIDISM,322
fluoxetine,Fluoxetine (Prozac),ACTIVITIES OF DAILY LIVING IMPAIRED,321
fluoxetine,Fluoxetine (Prozac),BLOOD CREATINE PHOSPHOKINASE INCREASED,320
fluoxetine,Fluoxetine (Prozac),HERPES ZOSTER,320
fluoxetine,Fluoxetine (Prozac),PSYCHOMOTOR HYPERACTIVITY,320
fluoxetine,Fluoxetine (Prozac),CORONARY ARTERY DISEASE,318
fluoxetine,Fluoxetine (Prozac),ABASIA,316
fluoxetine,Fluoxetine (Prozac),ABORTION SPONTANEOUS,316
fluoxetine,Fluoxetine (Prozac),ECZEMA,315
fluoxetine,Fluoxetine (Prozac),HAEMORRHAGIC STROKE,315
fluoxetine,Fluoxetine (Prozac),ACUTE RESPIRATORY DISTRESS SYNDROME,312
fluoxetine,Fluoxetine (Prozac),DELUSION,311
fluoxetine,Fluoxetine (Prozac),UNDERDOSE,310
fluoxetine,Fluoxetine (Prozac),BLISTER,309
fluoxetine,Fluoxetine (Prozac),DIABETIC KETOACIDOSIS,307
fluoxetine,Fluoxetine (Prozac),DRY EYE,307
fluoxetine,Fluoxetine (Prozac),INTERSTITIAL LUNG DISEASE,307
fluoxetine,Fluoxetine (Prozac),LACTIC ACIDOSIS,304
fluoxetine,Fluoxetine (Prozac),BREAST CANCER,303
fluoxetine,Fluoxetine (Prozac),EYE SWELLING,303
fluoxetine,Fluoxetine (Prozac),HYPERLIPIDAEMIA,302
fluoxetine,Fluoxetine (Prozac),NEURALGIA,301
fluoxetine,Fluoxetine (Prozac),INFUSION RELATED REACTION,299
fluoxetine,Fluoxetine (Prozac),RIB FRACTURE,299
fluoxetine,Fluoxetine (Prozac),VENTRICULAR SEPTAL DEFECT,298
fluoxetine,Fluoxetine (Prozac),ANAPHYLACTIC REACTION,297
fluoxetine,Fluoxetine (Prozac),EPILEPSY,297
fluoxetine,Fluoxetine (Prozac),LOWER RESPIRATORY TRACT INFECTION,296
